"Time","Distance","Ground Speed","Engine RPM","Throttle Pos","Brake Pos","Clutch Pos","Steered Angle","G Force Lat","G Force Long","Eng Oil Temp","Eng Water Temp","Clutch RPM","Gear","Steering Arm Force","Fuel Level","G Force Vert","Susp Pos FL","Susp Pos FR","Susp Pos RL","Susp Pos RR","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","Tyre Pressure FL","Tyre Pressure FR","Tyre Pressure RL","Tyre Pressure RR","Tyre Load FL","Tyre Load FR","Tyre Load RL","Tyre Load RR","Lat Force FL","Lat Force FR","Lat Force RL","Lat Force RR","Slide Pct FL","Slide Pct FR","Slide Pct RL","Slide Pct RR","Tyre Temp FL Outer","Tyre Temp FL Centre","Tyre Temp FL Inner","Tyre Temp FR Inner","Tyre Temp FR Center","Tyre Temp FR Outer","Tyre Temp RL Outer","Tyre Temp RL Centre","Tyre Temp RL Inner","Tyre Temp RR Inner","Tyre Temp RR Center","Tyre Temp RR Outer","Wheel Rot Speed FL","Wheel Rot Speed FR","Wheel Rot Speed RL","Wheel Rot Speed RR","Tyre Wear FL","Tyre Wear FR","Tyre Wear RL","Tyre Wear RR","Rear Brake Bias","Engine Boost","FL Brake disc","FR Brake disc","RL Brake disc","RR Brake disc","Ambient Temperature","Track Temperature","Front Compound","Rear Compound"
"s","m","km/h","rpm","%","%","%","deg","G","G","C","C","rpm","","N","l","G","mm","mm","mm","mm","mm","mm","mm","mm","C","C","C","C","kPa","kPa","kPa","kPa","N","N","N","N","N","N","N","N","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","rad/s","rad/s","rad/s","rad/s","%","%","%","%","%","","cm","cm","cm","cm","C","C","",""
"0.000","0","172.7","5977","100.00","0.00","0.00","0.00","-0.01","-0.21","61.4","53.0","5977","4","0","17.70","0.06","22.7","22.7","31.8","31.9","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1772","1751","2932","2929","25","-51","-67","54","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-180.9","-180.9","-176.4","-177.0","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.100","5","173.2","6015","100.00","0.00","0.00","0.00","0.00","-0.20","61.4","53.0","6015","4","0","17.70","-0.32","22.5","22.8","31.0","31.9","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1301","1384","1985","2644","28","-31","-52","42","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-181.8","-181.7","-177.9","-177.8","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.200","10","174.0","6028","100.00","0.00","0.00","0.00","0.00","-0.24","61.4","53.0","6028","4","0","17.70","0.03","21.2","21.2","32.2","32.2","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1845","1843","2822","2776","41","-39","-56","59","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-182.4","-182.3","-178.5","-178.0","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.300","15","174.8","6050","100.00","0.00","0.00","0.00","-0.01","-0.19","61.4","53.0","6050","4","0","17.69","-0.04","19.4","21.9","34.0","34.0","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1553","1784","2929","2670","28","-46","-68","49","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-183.0","-183.0","-179.1","-178.7","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.400","19","175.5","6076","100.00","0.00","0.00","0.00","-0.01","-0.20","61.4","53.0","6076","4","0","17.69","-0.10","18.0","17.6","31.4","31.0","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1779","1705","2659","2488","29","-47","-77","32","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-183.6","-183.6","-179.8","-179.5","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.500","24","176.3","6091","100.00","0.00","0.00","0.00","-0.01","-0.21","61.4","53.0","6091","4","0","17.69","0.08","20.9","20.9","29.4","29.4","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1901","1891","2950","2949","30","-52","-85","37","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-184.5","-184.5","-180.3","-179.9","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.600","29","177.0","6124","100.00","0.00","0.00","0.00","0.00","-0.18","61.4","53.0","6124","4","0","17.69","-0.12","20.4","20.3","33.0","33.0","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1646","1630","2668","2663","31","-41","-65","47","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-185.2","-185.2","-181.3","-180.8","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.700","34","177.6","5934","0.00","0.00","0.00","0.00","0.00","-0.01","61.4","53.0","5934","0","0","17.69","-0.05","18.0","17.9","29.2","29.2","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1856","1842","2662","2670","33","-47","-62","53","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-185.8","-185.8","-179.0","-178.9","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.800","39","177.9","5405","100.00","0.00","0.00","0.00","-0.02","-0.20","61.4","53.0","5405","5","0","17.68","0.03","21.8","21.8","30.8","30.7","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1753","1731","3045","2957","16","-60","-93","32","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-186.3","-186.3","-181.7","-181.6","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
